ID,date,sample,HPLC_sug,sucrose,glucose,fructose,sorbitol ,sugars,HPLC_starch,starch,carb
Gala lateral,8042020,1,1090,129.88,36.67,307.33,4.34,478.22,1167,126.61,604.83
Gala lateral,8042020,2,1099,127.79,37.55,332.11,4.43,501.89,1239,166.96,668.85
Gala lateral,8042020,3,1100,157.81,98.63,413.42,2.38,672.24,1240,60.36,732.6
Gala lateral,8042020,4,1101,104.24,45.25,336.5,2.87,488.86,1241,147.92,636.78
Gala lateral,8042020,5,1102,111.02,57.39,341.37,2.72,512.5,1242,177.99,690.49
Gala lateral,8042020,6,1103,118.95,40.62,348.72,3.43,511.73,1243,175.28,687.01
Gala lateral,8042020,7,1104,96.52,74.57,355.33,3.05,529.46,1244,146.67,676.13
Gala lateral,8042020,8,1105,109.75,68.52,387.96,2.83,569.05,1245,148.04,717.09
Gala lateral,8042020,9,1106,108.19,68.86,375.75,3.25,556.06,1246,148.26,704.32
Gala lateral,8042020,10,1107,108.4,53.14,362.05,3.52,527.12,1247,160.33,687.45
Gala lateral,8042020,11,1108,138.84,67.83,338.52,3.51,548.7,1249,105.29,653.99
Gala lateral,8042020,12,1112,169.47,42.52,360.3,5.04,577.33,1250,138.78,716.11
Gala lateral,8042020,13,1155,111.87,102.46,430.32,5.16,649.81,1251,155.08,804.89
Gala lateral,8042020,14,1156,99.98,92.78,399.87,3.49,596.12,1252,99.7,695.82
Gala lateral,8042020,15,1115,139.31,126.23,489.59,4.24,759.37,1252,95.96,855.33
Gala lateral,8042020,16,1116,147.82,40.61,444.63,5.6,638.66,1253,169.56,808.22
Gala lateral,8042020,17,1117,176.53,80.21,377.16,4.68,638.58,1254,165.36,803.94
Gala lateral,8042020,18,1118,161.01,65.97,469.16,5.29,701.42,1255,178.64,880.06
Gala lateral,8042020,19,1119,137.94,118.39,478.36,4.93,739.63,1256,77.66,817.29
Gala lateral,8042020,20,1157,120.17,90.22,475.79,5.04,691.22,1258,162.43,853.65
Gala King,7132020,21,1158,124.87,55.77,398,5.63,584.27,1259,161.69,745.96
Gala King,7132020,22,1159,117.74,109.98,423,10.82,661.55,1260,111.11,772.66
Gala King,7132020,23,1123,86.03,82.1,418.41,4.09,590.63,1261,161.16,751.79
Gala King,7132020,24,1124,100.41,77.91,415.02,3.68,597.03,1266,175.82,772.85
Gala King,7132020,25,1125,105,52.3,360.12,4.55,521.96,1267,178.65,700.61
Gala King,7132020,26,1126,127.44,66.18,404.8,7.37,605.79,1268,176.39,782.18
Gala King,7132020,27,1129,124.95,64.63,397.79,5.26,592.63,1269,188.72,781.35
Gala King,7132020,28,1130,100.87,87.02,388.93,5.42,582.23,1270,159.69,741.93
Gala King,7132020,29,1131,85.04,36.58,300.56,4.03,426.21,1271,177.49,603.7
Gala King,7132020,30,1144,96.86,72.27,359.52,6.03,534.69,1272,157.2,691.89
Gala King,8042020,31,1132,125.23,61.54,372.91,3.29,562.97,1273,124.46,687.43
Gala King,8042020,32,1160,179.05,90.28,480.83,5.65,755.8,1274,132.56,888.36
Gala King,8042020,33,1133,184.45,97.62,399.69,4.81,686.57,1275,111.5,798.07
Gala King,8042020,34,1161,163.1,52.01,446.59,2.79,664.49,1276,174.29,838.79
Gala King,8042020,35,1134,108.26,61.58,384.41,2.83,557.09,1277,161.41,718.5
Gala King,8042020,36,1135,122.49,68.64,429.21,3.2,623.54,1278,153.91,777.45
Gala King,8042020,37,1136,116.18,83.5,369.13,4.37,573.18,1279,133.16,706.35
Gala King,8042020,38,1137,123.24,96.52,409.03,3.83,632.62,1280,135.99,768.61
Gala King,8042020,39,1138,156.38,71.72,416.71,4.45,649.26,1290,182.77,832.03
Gala King,8042020,40,1147,100.76,54.53,337.03,4.24,496.56,1291,185.53,682.09
RedDelicious King,7132020,41,1148,25.31,104.19,183.12,2.49,315.1,1292,299.47,614.58
RedDelicious King,7132020,42,1149,50.72,113.59,321.29,4.34,489.94,1293,282.82,772.76
RedDelicious King,7132020,43,1163,45.24,150.9,299.11,4.25,499.5,1294,269.54,769.04
RedDelicious King,7132020,44,1193,48.79,124.1,314.4,3.24,490.54,1295,269.1,759.64
RedDelicious King,7132020,45,1184,41.45,126.77,312.65,3.75,484.63,1296,265.96,750.59
RedDelicious King,7132020,46,1150,43.43,132.43,293.7,3.74,473.3,1297,274.45,747.75
RedDelicious King,7132020,47,1151,55.94,169.03,381.72,4.77,611.46,1298,253.33,864.79
RedDelicious King,7132020,48,1185,43.7,141.59,299.05,3.76,488.09,1299,236.73,724.82
RedDelicious King,7132020,49,1186,52.07,139.39,323.78,4.22,519.46,1300,236.94,756.4
RedDelicious King,7132020,50,1187,52.55,140.89,335.39,3.85,532.69,1301,253.09,785.78
Gala King,8042020,51,1188,168.31,88.51,456.41,4.08,717.31,1302,163.98,881.28
Gala King,8042020,52,1189,195.64,74.27,453.34,4.17,727.41,1303,146.91,874.32
Gala King,8042020,53,1190,207.33,93.62,479.79,4.27,785.01,1304,127.28,912.29
Gala King,8042020,54,1191,147.34,78.01,412.23,4.2,641.78,1307,182.91,824.69
Gala King,8042020,55,1192,153.18,57.73,371.57,2.87,585.35,1308,174.88,760.23
Gala King,8042020,56,1194,142.39,57.64,341.89,4.19,546.12,1309,179.08,725.2
Gala King,8042020,57,1195,166.35,82.74,449.54,4.75,703.38,1310,161.31,864.69
Gala King,8042020,58,1196,159.78,96.48,429.94,3.3,689.51,1311,158.4,847.91
Gala King,8042020,59,1197,141.94,66.83,453.45,4.84,667.06,1312,182.63,849.69
Gala King,8042020,60,1198,128.77,129.94,495.62,3.78,758.11,1313,150.16,908.27
Gala King,8042020,61,1199,177.85,102.05,474.61,5.71,760.22,1314,177.24,937.46
Gala lateral,7132020,62,1200,144.25,69.31,438.05,6.78,658.38,1315,183.62,842
Gala lateral,7132020,63,1201,99.21,41.93,379.64,4.17,524.96,1316,190,714.95
Gala lateral,7132020,64,1203,128.93,62.14,380.85,8.86,580.78,1317,196.26,777.03
Gala lateral,7132020,65,1204,106.16,71.98,334.12,4.39,516.64,1318,197.56,714.2
Gala lateral,7132020,66,1205,142.94,81.05,426.41,5.8,656.2,1319,159.92,816.13
Gala lateral,7132020,67,1206,138.83,57.88,439.12,7.04,642.87,1320,193.31,836.17
Gala lateral,7132020,68,1207,93.91,80.62,395.07,5.66,575.25,1321,190.56,765.81
Gala lateral,7132020,69,1208,93.21,64.47,338.06,4.88,500.61,1357,166.68,667.3
Gala lateral,7132020,70,1209,114.09,53.1,400.45,4.37,572.01,1331,168.58,740.59
Gala lateral,7132020,71,1210,117.4,41.45,392.87,4.49,556.21,1332,188.15,744.35
RedDelicious lateral ,7132020,72,1211,55.62,129.35,303.11,5.69,493.77,1333,214.59,708.37
RedDelicious lateral ,7132020,73,1213,39.96,139.68,324.63,5.4,509.66,1334,203.76,713.42
RedDelicious lateral ,7132020,74,1214,39.26,122.24,258.14,3.57,423.21,1335,242.8,666.01
RedDelicious lateral ,7132020,75,1215,31.44,150.8,272.94,4.35,459.53,1336,229.27,688.8
RedDelicious lateral ,7132020,76,1216,38.7,95.21,250.56,3.66,388.13,1337,247.58,635.72
RedDelicious lateral ,7132020,77,1217,53.46,133.16,254.41,4.68,445.71,1338,229.33,675.04
RedDelicious lateral ,7132020,78,1218,47.24,134.58,263.16,4.22,449.19,1339,232.52,681.72
RedDelicious lateral ,7132020,79,1219,62.55,148.81,367.39,4.77,583.52,1340,230.83,814.35
RedDelicious lateral ,7132020,80,1220,46.4,118.7,285.75,3.78,454.63,1341,227.93,682.56
