wavelength,absorbance,,,
12489.67429,0.04947,,,
12481.95985,0.04861,,,
12474.24541,0.04767,,,
12466.53098,0.04766,,,
12458.81654,0.04851,,,
12451.1021,0.04913,,,
12443.38766,0.04874,,,
12435.67323,0.04791,,,
12427.95879,0.04785,,,
12420.24435,0.04852,,,
12412.52991,0.04867,,,
12404.81548,0.04836,,,
12397.10104,0.04847,,,
12389.3866,0.04862,,,
12381.67216,0.04845,,,
12373.95773,0.04868,,,
12366.24329,0.04906,,,
12358.52885,0.04854,,,
12350.81441,0.04742,,,
12343.09998,0.0469,,,
12335.38554,0.04732,,,
12327.6711,0.04791,,,
12319.95666,0.04785,,,
12312.24223,0.04717,,,
12304.52779,0.04654,,,
12296.81335,0.0466,,,
12289.09891,0.04714,,,
12281.38448,0.04718,,,
12273.67004,0.04657,,,
12265.9556,0.04628,,,
12258.24116,0.04649,,,
12250.52673,0.04668,,,
12242.81229,0.04658,,,
12235.09785,0.04617,,,
12227.38341,0.04579,,,
12219.66898,0.0459,,,
12211.95454,0.04606,,,
12204.2401,0.04553,,,
12196.52566,0.04493,,,
12188.81123,0.04513,,,
12181.09679,0.04563,,,
12173.38235,0.04592,,,
12165.66791,0.04608,,,
12157.95348,0.04585,,,
12150.23904,0.0453,,,
12142.5246,0.04501,,,
12134.81016,0.04477,,,
12127.09573,0.04422,,,
12119.38129,0.04379,,,
12111.66685,0.04388,,,
12103.95241,0.04422,,,
12096.23798,0.04412,,,
12088.52354,0.04331,,,
12080.8091,0.04238,,,
12073.09466,0.04207,,,
12065.38023,0.04255,,,
12057.66579,0.04333,,,
12049.95135,0.04375,,,
12042.23691,0.04363,,,
12034.52248,0.04316,,,
12026.80804,0.04257,,,
12019.0936,0.04208,,,
12011.37916,0.04173,,,
12003.66473,0.04169,,,
11995.95029,0.04202,,,
11988.23585,0.04219,,,
11980.52141,0.04188,,,
11972.80698,0.04127,,,
11965.09254,0.04053,,,
11957.3781,0.04001,,,
11949.66366,0.04009,,,
11941.94923,0.04049,,,
11934.23479,0.04076,,,
11926.52035,0.04079,,,
11918.80591,0.04051,,,
11911.09148,0.04007,,,
11903.37704,0.0397,,,
11895.6626,0.03949,,,
11887.94816,0.03959,,,
11880.23373,0.03984,,,
11872.51929,0.04007,,,
11864.80485,0.04033,,,
11857.09041,0.04032,,,
11849.37598,0.04008,,,
11841.66154,0.04003,,,
11833.9471,0.04002,,,
11826.23266,0.03962,,,
11818.51823,0.03915,,,
11810.80379,0.03925,,,
11803.08935,0.03975,,,
11795.37491,0.04017,,,
11787.66048,0.04014,,,
11779.94604,0.03972,,,
11772.2316,0.03936,,,
11764.51716,0.03878,,,
11756.80273,0.03781,,,
11749.08829,0.03716,,,
11741.37385,0.03699,,,
11733.65941,0.03687,,,
11725.94498,0.03679,,,
11718.23054,0.03676,,,
11710.5161,0.03675,,,
11702.80166,0.03695,,,
11695.08723,0.03749,,,
11687.37279,0.03807,,,
11679.65835,0.0381,,,
11671.94391,0.03755,,,
11664.22948,0.03691,,,
11656.51504,0.03635,,,
11648.8006,0.03623,,,
11641.08616,0.03671,,,
11633.37173,0.03713,,,
11625.65729,0.03705,,,
11617.94285,0.03685,,,
11610.22841,0.03662,,,
11602.51398,0.03632,,,
11594.79954,0.03607,,,
11587.0851,0.03569,,,
11579.37066,0.03517,,,
11571.65623,0.0349,,,
11563.94179,0.03497,,,
11556.22735,0.03503,,,
11548.51291,0.03506,,,
11540.79848,0.03511,,,
11533.08404,0.035,,,
11525.3696,0.03492,,,
11517.65516,0.03516,,,
11509.94073,0.03549,,,
11502.22629,0.03554,,,
11494.51185,0.03517,,,
11486.79741,0.03444,,,
11479.08298,0.03373,,,
11471.36854,0.03338,,,
11463.6541,0.03336,,,
11455.93966,0.03334,,,
11448.22523,0.03327,,,
11440.51079,0.03355,,,
11432.79635,0.03406,,,
11425.08191,0.03428,,,
11417.36748,0.0341,,,
11409.65304,0.03381,,,
11401.9386,0.03359,,,
11394.22416,0.03345,,,
11386.50973,0.03335,,,
11378.79529,0.03321,,,
11371.08085,0.03304,,,
11363.36642,0.03295,,,
11355.65198,0.03284,,,
11347.93754,0.03277,,,
11340.2231,0.03281,,,
11332.50867,0.0328,,,
11324.79423,0.0328,,,
11317.07979,0.03279,,,
11309.36535,0.03258,,,
11301.65092,0.03236,,,
11293.93648,0.03237,,,
11286.22204,0.03238,,,
11278.5076,0.03232,,,
11270.79317,0.0323,,,
11263.07873,0.03231,,,
11255.36429,0.03237,,,
11247.64985,0.03247,,,
11239.93542,0.03249,,,
11232.22098,0.03226,,,
11224.50654,0.03197,,,
11216.7921,0.0319,,,
11209.07767,0.03178,,,
11201.36323,0.0316,,,
11193.64879,0.03155,,,
11185.93435,0.03151,,,
11178.21992,0.03139,,,
11170.50548,0.03129,,,
11162.79104,0.0312,,,
11155.0766,0.03109,,,
11147.36217,0.03118,,,
11139.64773,0.03133,,,
11131.93329,0.03127,,,
11124.21885,0.03112,,,
11116.50442,0.03102,,,
11108.78998,0.03097,,,
11101.07554,0.03095,,,
11093.3611,0.03083,,,
11085.64667,0.03064,,,
11077.93223,0.03043,,,
11070.21779,0.03019,,,
11062.50335,0.03,,,
11054.78892,0.02998,,,
11047.07448,0.03022,,,
11039.36004,0.03066,,,
11031.6456,0.03097,,,
11023.93117,0.03081,,,
11016.21673,0.03048,,,
11008.50229,0.03048,,,
11000.78785,0.03052,,,
10993.07342,0.0302,,,
10985.35898,0.02987,,,
10977.64454,0.02973,,,
10969.9301,0.02976,,,
10962.21567,0.02996,,,
10954.50123,0.03007,,,
10946.78679,0.02992,,,
10939.07235,0.0299,,,
10931.35792,0.03026,,,
10923.64348,0.03053,,,
10915.92904,0.03041,,,
10908.2146,0.03011,,,
10900.50017,0.0298,,,
10892.78573,0.02942,,,
10885.07129,0.02903,,,
10877.35685,0.02878,,,
10869.64242,0.02868,,,
10861.92798,0.02871,,,
10854.21354,0.02882,,,
10846.4991,0.0289,,,
10838.78467,0.02897,,,
10831.07023,0.02902,,,
10823.35579,0.02888,,,
10815.64135,0.02853,,,
10807.92692,0.02816,,,
10800.21248,0.0279,,,
10792.49804,0.02782,,,
10784.7836,0.02783,,,
10777.06917,0.02781,,,
10769.35473,0.02781,,,
10761.64029,0.02782,,,
10753.92585,0.02778,,,
10746.21142,0.02777,,,
10738.49698,0.02777,,,
10730.78254,0.02759,,,
10723.0681,0.02727,,,
10715.35367,0.02705,,,
10707.63923,0.02693,,,
10699.92479,0.02673,,,
10692.21035,0.02644,,,
10684.49592,0.02624,,,
10676.78148,0.02622,,,
10669.06704,0.02619,,,
10661.3526,0.02598,,,
10653.63817,0.02577,,,
10645.92373,0.02574,,,
10638.20929,0.02579,,,
10630.49485,0.02579,,,
10622.78042,0.02569,,,
10615.06598,0.02557,,,
10607.35154,0.02542,,,
10599.6371,0.02531,,,
10591.92267,0.02546,,,
10584.20823,0.02572,,,
10576.49379,0.02579,,,
10568.77935,0.02573,,,
10561.06492,0.0257,,,
10553.35048,0.02559,,,
10545.63604,0.02534,,,
10537.9216,0.02511,,,
10530.20717,0.02493,,,
10522.49273,0.02472,,,
10514.77829,0.02457,,,
10507.06385,0.02455,,,
10499.34942,0.02466,,,
10491.63498,0.02472,,,
10483.92054,0.02465,,,
10476.2061,0.02461,,,
10468.49167,0.02454,,,
10460.77723,0.02434,,,
10453.06279,0.02419,,,
10445.34835,0.02419,,,
10437.63392,0.02422,,,
10429.91948,0.02429,,,
10422.20504,0.02441,,,
10414.4906,0.02449,,,
10406.77617,0.0244,,,
10399.06173,0.02423,,,
10391.34729,0.02424,,,
10383.63285,0.02435,,,
10375.91842,0.02442,,,
10368.20398,0.02461,,,
10360.48954,0.0249,,,
10352.7751,0.02504,,,
10345.06067,0.02499,,,
10337.34623,0.02495,,,
10329.63179,0.02504,,,
10321.91735,0.02516,,,
10314.20292,0.02525,,,
10306.48848,0.02541,,,
10298.77404,0.02565,,,
10291.0596,0.0259,,,
10283.34517,0.02612,,,
10275.63073,0.02634,,,
10267.91629,0.02654,,,
10260.20185,0.02676,,,
10252.48742,0.02708,,,
10244.77298,0.02743,,,
10237.05854,0.02768,,,
10229.3441,0.02788,,,
10221.62967,0.02806,,,
10213.91523,0.02818,,,
10206.20079,0.02825,,,
10198.48635,0.02835,,,
10190.77192,0.02845,,,
10183.05748,0.02859,,,
10175.34304,0.02883,,,
10167.6286,0.02916,,,
10159.91417,0.02945,,,
10152.19973,0.02961,,,
10144.48529,0.02963,,,
10136.77085,0.02965,,,
10129.05642,0.02969,,,
10121.34198,0.02971,,,
10113.62754,0.02969,,,
10105.91311,0.02971,,,
10098.19867,0.02976,,,
10090.48423,0.02982,,,
10082.76979,0.02987,,,
10075.05536,0.02988,,,
10067.34092,0.02982,,,
10059.62648,0.02976,,,
10051.91204,0.02973,,,
10044.19761,0.02972,,,
10036.48317,0.02975,,,
10028.76873,0.02977,,,
10021.05429,0.02972,,,
10013.33986,0.02962,,,
10005.62542,0.02956,,,
9997.91098,0.02965,,,
9990.19654,0.0298,,,
9982.48211,0.02981,,,
9974.76767,0.02971,,,
9967.05323,0.02966,,,
9959.33879,0.02959,,,
9951.62436,0.02948,,,
9943.90992,0.02955,,,
9936.19548,0.02974,,,
9928.48104,0.02978,,,
9920.76661,0.0297,,,
9913.05217,0.0296,,,
9905.33773,0.02951,,,
9897.62329,0.02945,,,
9889.90886,0.02946,,,
9882.19442,0.02947,,,
9874.47998,0.02945,,,
9866.76554,0.02934,,,
9859.05111,0.02916,,,
9851.33667,0.02896,,,
9843.62223,0.02886,,,
9835.90779,0.0288,,,
9828.19336,0.02873,,,
9820.47892,0.02875,,,
9812.76448,0.02881,,,
9805.05004,0.02871,,,
9797.33561,0.02847,,,
9789.62117,0.02821,,,
9781.90673,0.02804,,,
9774.19229,0.02798,,,
9766.47786,0.02793,,,
9758.76342,0.0278,,,
9751.04898,0.02765,,,
9743.33454,0.02757,,,
9735.62011,0.02756,,,
9727.90567,0.02752,,,
9720.19123,0.02741,,,
9712.47679,0.02722,,,
9704.76236,0.02707,,,
9697.04792,0.02696,,,
9689.33348,0.02681,,,
9681.61904,0.02668,,,
9673.90461,0.02662,,,
9666.19017,0.02656,,,
9658.47573,0.02649,,,
9650.76129,0.02642,,,
9643.04686,0.02631,,,
9635.33242,0.02615,,,
9627.61798,0.02599,,,
9619.90354,0.02591,,,
9612.18911,0.02588,,,
9604.47467,0.0258,,,
9596.76023,0.0256,,,
9589.04579,0.02535,,,
9581.33136,0.02521,,,
9573.61692,0.02521,,,
9565.90248,0.02523,,,
9558.18804,0.0252,,,
9550.47361,0.02516,,,
9542.75917,0.02504,,,
9535.04473,0.02487,,,
9527.33029,0.02471,,,
9519.61586,0.02461,,,
9511.90142,0.02457,,,
9504.18698,0.02454,,,
9496.47254,0.02444,,,
9488.75811,0.02436,,,
9481.04367,0.02435,,,
9473.32923,0.02426,,,
9465.61479,0.02411,,,
9457.90036,0.02404,,,
9450.18592,0.02402,,,
9442.47148,0.02393,,,
9434.75704,0.02376,,,
9427.04261,0.02353,,,
9419.32817,0.02338,,,
9411.61373,0.02343,,,
9403.89929,0.02351,,,
9396.18486,0.02345,,,
9388.47042,0.02333,,,
9380.75598,0.02325,,,
9373.04154,0.02313,,,
9365.32711,0.02293,,,
9357.61267,0.02279,,,
9349.89823,0.02272,,,
9342.18379,0.02268,,,
9334.46936,0.02265,,,
9326.75492,0.02258,,,
9319.04048,0.02244,,,
9311.32604,0.02232,,,
9303.61161,0.02223,,,
9295.89717,0.02211,,,
9288.18273,0.02202,,,
9280.46829,0.02202,,,
9272.75386,0.022,,,
9265.03942,0.0219,,,
9257.32498,0.02172,,,
9249.61054,0.02149,,,
9241.89611,0.02137,,,
9234.18167,0.02142,,,
9226.46723,0.0215,,,
9218.75279,0.02149,,,
9211.03836,0.02138,,,
9203.32392,0.02119,,,
9195.60948,0.02102,,,
9187.89504,0.02093,,,
9180.18061,0.02087,,,
9172.46617,0.02082,,,
9164.75173,0.02079,,,
9157.03729,0.02071,,,
9149.32286,0.02059,,,
9141.60842,0.0205,,,
9133.89398,0.02044,,,
9126.17954,0.02038,,,
9118.46511,0.02028,,,
9110.75067,0.02018,,,
9103.03623,0.02015,,,
9095.32179,0.02012,,,
9087.60736,0.02002,,,
9079.89292,0.01986,,,
9072.17848,0.01978,,,
9064.46404,0.0198,,,
9056.74961,0.01984,,,
9049.03517,0.01983,,,
9041.32073,0.01977,,,
9033.60629,0.01968,,,
9025.89186,0.01963,,,
9018.17742,0.01953,,,
9010.46298,0.01938,,,
9002.74854,0.01928,,,
8995.03411,0.01928,,,
8987.31967,0.01932,,,
8979.60523,0.01936,,,
8971.89079,0.01939,,,
8964.17636,0.01944,,,
8956.46192,0.01953,,,
8948.74748,0.01961,,,
8941.03304,0.01965,,,
8933.31861,0.01968,,,
8925.60417,0.01978,,,
8917.88973,0.01991,,,
8910.17529,0.02003,,,
8902.46086,0.02017,,,
8894.74642,0.02031,,,
8887.03198,0.02037,,,
8879.31754,0.02041,,,
8871.60311,0.02058,,,
8863.88867,0.02089,,,
8856.17423,0.02121,,,
8848.45979,0.02153,,,
8840.74536,0.02187,,,
8833.03092,0.02218,,,
8825.31648,0.02245,,,
8817.60205,0.02268,,,
8809.88761,0.02291,,,
8802.17317,0.02318,,,
8794.45873,0.02352,,,
8786.7443,0.02393,,,
8779.02986,0.02432,,,
8771.31542,0.02465,,,
8763.60098,0.02489,,,
8755.88655,0.02509,,,
8748.17211,0.02531,,,
8740.45767,0.02553,,,
8732.74323,0.02569,,,
8725.0288,0.02582,,,
8717.31436,0.02604,,,
8709.59992,0.02634,,,
8701.88548,0.02667,,,
8694.17105,0.02699,,,
8686.45661,0.02721,,,
8678.74217,0.02744,,,
8671.02773,0.0278,,,
8663.3133,0.02826,,,
8655.59886,0.02873,,,
8647.88442,0.0292,,,
8640.16998,0.02968,,,
8632.45555,0.03018,,,
8624.74111,0.0307,,,
8617.02667,0.03126,,,
8609.31223,0.03186,,,
8601.5978,0.03249,,,
8593.88336,0.03318,,,
8586.16892,0.03387,,,
8578.45448,0.03452,,,
8570.74005,0.03512,,,
8563.02561,0.03567,,,
8555.31117,0.03625,,,
8547.59673,0.0369,,,
8539.8823,0.03754,,,
8532.16786,0.03811,,,
8524.45342,0.03862,,,
8516.73898,0.03917,,,
8509.02455,0.03983,,,
8501.31011,0.0405,,,
8493.59567,0.04112,,,
8485.88123,0.04174,,,
8478.1668,0.0424,,,
8470.45236,0.04302,,,
8462.73792,0.04359,,,
8455.02348,0.04417,,,
8447.30905,0.04476,,,
8439.59461,0.04526,,,
8431.88017,0.04567,,,
8424.16573,0.04606,,,
8416.4513,0.04648,,,
8408.73686,0.04693,,,
8401.02242,0.04732,,,
8393.30798,0.04759,,,
8385.59355,0.04782,,,
8377.87911,0.04805,,,
8370.16467,0.0482,,,
8362.45023,0.04829,,,
8354.7358,0.0484,,,
8347.02136,0.0485,,,
8339.30692,0.04858,,,
8331.59248,0.04867,,,
8323.87805,0.04876,,,
8316.16361,0.04879,,,
8308.44917,0.04883,,,
8300.73473,0.0489,,,
8293.0203,0.04894,,,
8285.30586,0.04895,,,
8277.59142,0.04895,,,
8269.87698,0.04896,,,
8262.16255,0.04892,,,
8254.44811,0.04882,,,
8246.73367,0.04866,,,
8239.01923,0.0485,,,
8231.3048,0.04838,,,
8223.59036,0.04827,,,
8215.87592,0.0481,,,
8208.16148,0.04785,,,
8200.44705,0.04757,,,
8192.73261,0.04729,,,
8185.01817,0.04702,,,
8177.30373,0.04679,,,
8169.5893,0.04655,,,
8161.87486,0.04629,,,
8154.16042,0.04602,,,
8146.44598,0.04572,,,
8138.73155,0.0454,,,
8131.01711,0.04511,,,
8123.30267,0.04486,,,
8115.58823,0.04458,,,
8107.8738,0.04434,,,
8100.15936,0.04416,,,
8092.44492,0.04396,,,
8084.73048,0.04369,,,
8077.01605,0.04339,,,
8069.30161,0.04314,,,
8061.58717,0.04294,,,
8053.87273,0.04273,,,
8046.1583,0.04255,,,
8038.44386,0.04239,,,
8030.72942,0.04219,,,
8023.01498,0.04196,,,
8015.30055,0.04175,,,
8007.58611,0.04161,,,
7999.87167,0.0415,,,
7992.15723,0.04138,,,
7984.4428,0.04125,,,
7976.72836,0.04112,,,
7969.01392,0.041,,,
7961.29948,0.04093,,,
7953.58505,0.0409,,,
7945.87061,0.04087,,,
7938.15617,0.0408,,,
7930.44173,0.04075,,,
7922.7273,0.04076,,,
7915.01286,0.04078,,,
7907.29842,0.04075,,,
7899.58398,0.04071,,,
7891.86955,0.04069,,,
7884.15511,0.04064,,,
7876.44067,0.04057,,,
7868.72623,0.04053,,,
7861.0118,0.04049,,,
7853.29736,0.04041,,,
7845.58292,0.04031,,,
7837.86848,0.04019,,,
7830.15405,0.04006,,,
7822.43961,0.03989,,,
7814.72517,0.03969,,,
7807.01073,0.03946,,,
7799.2963,0.03924,,,
7791.58186,0.039,,,
7783.86742,0.03876,,,
7776.15298,0.03858,,,
7768.43855,0.03844,,,
7760.72411,0.03826,,,
7753.00967,0.03801,,,
7745.29523,0.03771,,,
7737.5808,0.03743,,,
7729.86636,0.03724,,,
7722.15192,0.03712,,,
7714.43748,0.03698,,,
7706.72305,0.03682,,,
7699.00861,0.03667,,,
7691.29417,0.03655,,,
7683.57973,0.03643,,,
