wavelength,absorbance,
12489.67429,0.07161,
12481.95985,0.07102,
12474.24541,0.0701,
12466.53098,0.06966,
12458.81654,0.0698,
12451.1021,0.06965,
12443.38766,0.06928,
12435.67323,0.06906,
12427.95879,0.06902,
12420.24435,0.069,
12412.52991,0.06876,
12404.81548,0.06866,
12397.10104,0.06875,
12389.3866,0.06854,
12381.67216,0.06844,
12373.95773,0.06885,
12366.24329,0.06921,
12358.52885,0.06915,
12350.81441,0.06858,
12343.09998,0.06804,
12335.38554,0.06807,
12327.6711,0.0681,
12319.95666,0.06793,
12312.24223,0.06785,
12304.52779,0.06748,
12296.81335,0.06666,
12289.09891,0.066,
12281.38448,0.06574,
12273.67004,0.06566,
12265.9556,0.06534,
12258.24116,0.06484,
12250.52673,0.06455,
12242.81229,0.0646,
12235.09785,0.06494,
12227.38341,0.06552,
12219.66898,0.06597,
12211.95454,0.06565,
12204.2401,0.06456,
12196.52566,0.06369,
12188.81123,0.06374,
12181.09679,0.06433,
12173.38235,0.06448,
12165.66791,0.06379,
12157.95348,0.06303,
12150.23904,0.06294,
12142.5246,0.06306,
12134.81016,0.06277,
12127.09573,0.06252,
12119.38129,0.06276,
12111.66685,0.06306,
12103.95241,0.06288,
12096.23798,0.06225,
12088.52354,0.0616,
12080.8091,0.06112,
12073.09466,0.06082,
12065.38023,0.06083,
12057.66579,0.06109,
12049.95135,0.06145,
12042.23691,0.06151,
12034.52248,0.06093,
12026.80804,0.06028,
12019.0936,0.06021,
12011.37916,0.06056,
12003.66473,0.06057,
11995.95029,0.05982,
11988.23585,0.05893,
11980.52141,0.05863,
11972.80698,0.05881,
11965.09254,0.05892,
11957.3781,0.05877,
11949.66366,0.05846,
11941.94923,0.05788,
11934.23479,0.05728,
11926.52035,0.05693,
11918.80591,0.05655,
11911.09148,0.05618,
11903.37704,0.05624,
11895.6626,0.0566,
11887.94816,0.05684,
11880.23373,0.05686,
11872.51929,0.05672,
11864.80485,0.05644,
11857.09041,0.05619,
11849.37598,0.05616,
11841.66154,0.05623,
11833.9471,0.05612,
11826.23266,0.05589,
11818.51823,0.05577,
11810.80379,0.05575,
11803.08935,0.05564,
11795.37491,0.0551,
11787.66048,0.05427,
11779.94604,0.05372,
11772.2316,0.05359,
11764.51716,0.05333,
11756.80273,0.05289,
11749.08829,0.05279,
11741.37385,0.05281,
11733.65941,0.05266,
11725.94498,0.05274,
11718.23054,0.05303,
11710.5161,0.05308,
11702.80166,0.0529,
11695.08723,0.0529,
11687.37279,0.05329,
11679.65835,0.05373,
11671.94391,0.05371,
11664.22948,0.05309,
11656.51504,0.05246,
11648.8006,0.05217,
11641.08616,0.0519,
11633.37173,0.05153,
11625.65729,0.0512,
11617.94285,0.05108,
11610.22841,0.05094,
11602.51398,0.05046,
11594.79954,0.05021,
11587.0851,0.05036,
11579.37066,0.05043,
11571.65623,0.05037,
11563.94179,0.05024,
11556.22735,0.04997,
11548.51291,0.04968,
11540.79848,0.04956,
11533.08404,0.04965,
11525.3696,0.0497,
11517.65516,0.04951,
11509.94073,0.04939,
11502.22629,0.04953,
11494.51185,0.04944,
11486.79741,0.04886,
11479.08298,0.04845,
11471.36854,0.04846,
11463.6541,0.0483,
11455.93966,0.04773,
11448.22523,0.04726,
11440.51079,0.04728,
11432.79635,0.04749,
11425.08191,0.04762,
11417.36748,0.04765,
11409.65304,0.04756,
11401.9386,0.04744,
11394.22416,0.0472,
11386.50973,0.04672,
11378.79529,0.04638,
11371.08085,0.04635,
11363.36642,0.04634,
11355.65198,0.04628,
11347.93754,0.04628,
11340.2231,0.04624,
11332.50867,0.04612,
11324.79423,0.04588,
11317.07979,0.0456,
11309.36535,0.04545,
11301.65092,0.04542,
11293.93648,0.04555,
11286.22204,0.04574,
11278.5076,0.04558,
11270.79317,0.04522,
11263.07873,0.04516,
11255.36429,0.04529,
11247.64985,0.04536,
11239.93542,0.04539,
11232.22098,0.04538,
