wavelength,absorbance
12489.67429,0.05934
12481.95985,0.0578
12474.24541,0.05672
12466.53098,0.05728
12458.81654,0.05879
12451.1021,0.0594
12443.38766,0.05876
12435.67323,0.05824
12427.95879,0.05834
12420.24435,0.05838
12412.52991,0.05824
12404.81548,0.05846
12397.10104,0.05894
12389.3866,0.05924
12381.67216,0.05925
12373.95773,0.05887
12366.24329,0.05831
12358.52885,0.05798
12350.81441,0.05768
12343.09998,0.0574
12335.38554,0.05748
12327.6711,0.05769
12319.95666,0.05761
12312.24223,0.05741
12304.52779,0.05735
12296.81335,0.05718
12289.09891,0.0571
12281.38448,0.05743
12273.67004,0.05755
12265.9556,0.05693
12258.24116,0.05606
12250.52673,0.05567
12242.81229,0.05568
12235.09785,0.05577
12227.38341,0.05579
12219.66898,0.05561
12211.95454,0.05514
12204.2401,0.05455
12196.52566,0.05447
12188.81123,0.05515
12181.09679,0.0559
12173.38235,0.05595
12165.66791,0.05536
12157.95348,0.0548
12150.23904,0.05449
12142.5246,0.05431
12134.81016,0.0544
12127.09573,0.05466
12119.38129,0.05449
12111.66685,0.05392
12103.95241,0.0535
12096.23798,0.05316
12088.52354,0.05263
12080.8091,0.05207
12073.09466,0.05173
12065.38023,0.05177
12057.66579,0.05209
12049.95135,0.05244
12042.23691,0.05253
12034.52248,0.05242
12026.80804,0.05253
12019.0936,0.05263
12011.37916,0.05258
12003.66473,0.05255
11995.95029,0.05221
11988.23585,0.05139
11980.52141,0.05071
11972.80698,0.05055
11965.09254,0.05036
11957.3781,0.04989
11949.66366,0.04965
11941.94923,0.04967
11934.23479,0.04964
11926.52035,0.04957
11918.80591,0.04935
11911.09148,0.04904
11903.37704,0.049
11895.6626,0.0491
11887.94816,0.04911
11880.23373,0.04907
11872.51929,0.04919
11864.80485,0.04945
11857.09041,0.04949
11849.37598,0.04924
11841.66154,0.04908
11833.9471,0.04906
11826.23266,0.04894
11818.51823,0.04862
11810.80379,0.04826
11803.08935,0.04783
11795.37491,0.04735
11787.66048,0.04692
11779.94604,0.04668
11772.2316,0.04688
11764.51716,0.0471
11756.80273,0.04693
11749.08829,0.04687
11741.37385,0.04689
11733.65941,0.04643
11725.94498,0.04577
11718.23054,0.04551
11710.5161,0.04555
11702.80166,0.04572
11695.08723,0.04604
11687.37279,0.04653
11679.65835,0.04694
11671.94391,0.04684
11664.22948,0.04637
11656.51504,0.04598
11648.8006,0.04565
11641.08616,0.04534
11633.37173,0.045
11625.65729,0.04464
11617.94285,0.04435
11610.22841,0.04413
11602.51398,0.0439
11594.79954,0.04401
11587.0851,0.0444
11579.37066,0.04443
11571.65623,0.04409
11563.94179,0.04396
11556.22735,0.04407
11548.51291,0.04408
11540.79848,0.04393
11533.08404,0.0439
11525.3696,0.04407
11517.65516,0.04422
11509.94073,0.044
11502.22629,0.04346
11494.51185,0.043
11486.79741,0.0427
11479.08298,0.0424
11471.36854,0.04213
11463.6541,0.04187
11455.93966,0.04165
11448.22523,0.04157
11440.51079,0.04163
11432.79635,0.04174
11425.08191,0.04186
11417.36748,0.04182
11409.65304,0.04169
11401.9386,0.04181
11394.22416,0.04206
11386.50973,0.04213
11378.79529,0.04192
11371.08085,0.04154
11363.36642,0.04108
11355.65198,0.04068
11347.93754,0.04053
11340.2231,0.04057
11332.50867,0.04065
11324.79423,0.04082
11317.07979,0.04101
11309.36535,0.04074
11301.65092,0.04013
11293.93648,0.04002
11286.22204,0.04037
11278.5076,0.04043
11270.79317,0.04029
11263.07873,0.04037
11255.36429,0.04052
11247.64985,0.04058
11239.93542,0.04057
11232.22098,0.04037
11224.50654,0.04008
11216.7921,0.0398
11209.07767,0.03939
11201.36323,0.03908
11193.64879,0.03904
11185.93435,0.03909
11178.21992,0.03923
11170.50548,0.03938
11162.79104,0.03941
11155.0766,0.03937
11147.36217,0.03932
11139.64773,0.03925
11131.93329,0.0391
11124.21885,0.03875
11116.50442,0.03821
11108.78998,0.03777
11101.07554,0.0377
11093.3611,0.038
11085.64667,0.0382
11077.93223,0.03806
11070.21779,0.03791
11062.50335,0.03769
11054.78892,0.03726
11047.07448,0.03704
11039.36004,0.03716
11031.6456,0.03727
11023.93117,0.03736
11016.21673,0.03772
11008.50229,0.0381
11000.78785,0.03803
10993.07342,0.03773
10985.35898,0.03755
10977.64454,0.03735
10969.9301,0.03717
10962.21567,0.03721
10954.50123,0.03725
10946.78679,0.03703
10939.07235,0.0368
10931.35792,0.03688
10923.64348,0.037
10915.92904,0.03697
10908.2146,0.03695
10900.50017,0.03682
10892.78573,0.03651
10885.07129,0.0363
10877.35685,0.03627
10869.64242,0.03626
10861.92798,0.03623
10854.21354,0.03626
10846.4991,0.03626
10838.78467,0.0361
10831.07023,0.036
10823.35579,0.03596
10815.64135,0.03576
10807.92692,0.03551
10800.21248,0.0355
10792.49804,0.03562
10784.7836,0.03551
10777.06917,0.03512
10769.35473,0.0349
10761.64029,0.03494
10753.92585,0.03497
10746.21142,0.03487
10738.49698,0.0348
10730.78254,0.03475
10723.0681,0.03463
10715.35367,0.03446
10707.63923,0.03424
10699.92479,0.03393
10692.21035,0.03365
10684.49592,0.03354
10676.78148,0.03363
10669.06704,0.03378
10661.3526,0.03376
10653.63817,0.03366
10645.92373,0.03364
10638.20929,0.0336
10630.49485,0.0334
10622.78042,0.03305
10615.06598,0.03282
10607.35154,0.03274
10599.6371,0.03259
10591.92267,0.03248
10584.20823,0.03253
10576.49379,0.03256
10568.77935,0.03255
10561.06492,0.03262
10553.35048,0.0326
10545.63604,0.03235
10537.9216,0.03214
10530.20717,0.03205
10522.49273,0.03199
10514.77829,0.03195
10507.06385,0.03193
10499.34942,0.03199
10491.63498,0.03202
10483.92054,0.03191
10476.2061,0.03182
10468.49167,0.03189
10460.77723,0.03189
10453.06279,0.03165
10445.34835,0.03135
10437.63392,0.03124
10429.91948,0.03138
10422.20504,0.0315
10414.4906,0.03134
10406.77617,0.03112
10399.06173,0.03115
10391.34729,0.03142
10383.63285,0.03155
10375.91842,0.03147
10368.20398,0.03148
10360.48954,0.03161
10352.7751,0.03171
10345.06067,0.03176
10337.34623,0.0318
10329.63179,0.03188
10321.91735,0.03199
10314.20292,0.03195
10306.48848,0.0319
10298.77404,0.03207
10291.0596,0.03233
10283.34517,0.03249
10275.63073,0.03265
10267.91629,0.0329
10260.20185,0.0331
10252.48742,0.03326
10244.77298,0.03351
10237.05854,0.03369
10229.3441,0.03374
10221.62967,0.03386
10213.91523,0.03407
10206.20079,0.03418
10198.48635,0.03419
10190.77192,0.03427
10183.05748,0.03445
10175.34304,0.03466
10167.6286,0.03491
10159.91417,0.03511
10152.19973,0.03516
10144.48529,0.03514
10136.77085,0.03518
10129.05642,0.03524
10121.34198,0.03527
10113.62754,0.03523
10105.91311,0.03518
10098.19867,0.03525
10090.48423,0.03534
10082.76979,0.03536
10075.05536,0.03536
10067.34092,0.03536
10059.62648,0.03535
10051.91204,0.03532
10044.19761,0.03524
10036.48317,0.03513
10028.76873,0.03501
10021.05429,0.03488
10013.33986,0.03483
10005.62542,0.03491
9997.91098,0.03506
9990.19654,0.03511
9982.48211,0.035
9974.76767,0.03488
9967.05323,0.03481
9959.33879,0.0347
9951.62436,0.03474
9943.90992,0.03503
9936.19548,0.03529
9928.48104,0.03528
9920.76661,0.03511
9913.05217,0.03497
9905.33773,0.03498
9897.62329,0.03507
9889.90886,0.03509
9882.19442,0.03506
9874.47998,0.03498
9866.76554,0.03482
9859.05111,0.03462
9851.33667,0.03449
9843.62223,0.03442
9835.90779,0.03433
9828.19336,0.03427
9820.47892,0.03433
9812.76448,0.03441
9805.05004,0.03431
9797.33561,0.03406
9789.62117,0.0339
9781.90673,0.03385
9774.19229,0.03378
9766.47786,0.03366
9758.76342,0.0336
9751.04898,0.03356
9743.33454,0.03344
9735.62011,0.0333
9727.90567,0.0332
9720.19123,0.03308
9712.47679,0.03293
9704.76236,0.03284
9697.04792,0.03279
9689.33348,0.03271
9681.61904,0.03257
9673.90461,0.03238
9666.19017,0.03222
9658.47573,0.03215
9650.76129,0.03214
9643.04686,0.03208
9635.33242,0.03189
9627.61798,0.03167
9619.90354,0.03158
9612.18911,0.03158
9604.47467,0.0315
9596.76023,0.03136
9589.04579,0.03134
9581.33136,0.03137
9573.61692,0.03135
9565.90248,0.03131
9558.18804,0.03124
9550.47361,0.03114
9542.75917,0.03104
9535.04473,0.03096
9527.33029,0.03086
9519.61586,0.03078
9511.90142,0.03079
9504.18698,0.03082
9496.47254,0.03076
9488.75811,0.03064
9481.04367,0.03049
9473.32923,0.03029
9465.61479,0.03011
9457.90036,0.03008
9450.18592,0.03014
9442.47148,0.03013
9434.75704,0.02999
9427.04261,0.02979
9419.32817,0.02969
9411.61373,0.02972
9403.89929,0.02978
9396.18486,0.02978
9388.47042,0.02967
9380.75598,0.0295
9373.04154,0.02935
9365.32711,0.02925
9357.61267,0.02923
9349.89823,0.02925
9342.18379,0.02923
9334.46936,0.02911
9326.75492,0.02892
9319.04048,0.02877
9311.32604,0.02868
9303.61161,0.02856
9295.89717,0.0284
9288.18273,0.02827
9280.46829,0.02825
9272.75386,0.02826
9265.03942,0.0282
9257.32498,0.02807
9249.61054,0.02793
9241.89611,0.02789
9234.18167,0.02787
9226.46723,0.0278
9218.75279,0.02768
9211.03836,0.02755
9203.32392,0.02743
9195.60948,0.02739
9187.89504,0.02742
9180.18061,0.02739
9172.46617,0.0273
9164.75173,0.02721
9157.03729,0.0271
9149.32286,0.02698
9141.60842,0.02688
9133.89398,0.02685
9126.17954,0.0268
9118.46511,0.02668
9110.75067,0.02666
9103.03623,0.02674
9095.32179,0.02674
9087.60736,0.0266
9079.89292,0.02647
9072.17848,0.02645
9064.46404,0.02649
9056.74961,0.02649
9049.03517,0.02644
9041.32073,0.02642
9033.60629,0.02642
9025.89186,0.02639
9018.17742,0.02631
9010.46298,0.02622
9002.74854,0.02617
8995.03411,0.02612
8987.31967,0.02606
8979.60523,0.02607
8971.89079,0.02614
8964.17636,0.02621
8956.46192,0.02625
8948.74748,0.02632
8941.03304,0.02644
8933.31861,0.02655
8925.60417,0.0266
8917.88973,0.02664
8910.17529,0.02672
8902.46086,0.02687
8894.74642,0.02706
8887.03198,0.02718
8879.31754,0.0273
8871.60311,0.02751
8863.88867,0.0278
8856.17423,0.02811
8848.45979,0.02837
8840.74536,0.02857
8833.03092,0.02874
8825.31648,0.02889
8817.60205,0.0291
8809.88761,0.02942
8802.17317,0.0298
8794.45873,0.0301
8786.7443,0.03037
8779.02986,0.03067
8771.31542,0.03098
8763.60098,0.03132
8755.88655,0.03167
8748.17211,0.03196
8740.45767,0.03212
8732.74323,0.03223
8725.0288,0.03239
8717.31436,0.0326
8709.59992,0.03284
8701.88548,0.03315
8694.17105,0.0335
8686.45661,0.03379
8678.74217,0.03401
8671.02773,0.0343
8663.3133,0.03466
8655.59886,0.03509
8647.88442,0.03556
8640.16998,0.03608
8632.45555,0.03666
8624.74111,0.03727
8617.02667,0.03786
8609.31223,0.03841
8601.5978,0.03898
8593.88336,0.03959
8586.16892,0.04022
8578.45448,0.04082
8570.74005,0.04134
8563.02561,0.04178
8555.31117,0.04225
8547.59673,0.04281
8539.8823,0.04341
8532.16786,0.04394
8524.45342,0.04441
8516.73898,0.04492
8509.02455,0.04551
8501.31011,0.04614
8493.59567,0.04674
8485.88123,0.04734
8478.1668,0.04795
8470.45236,0.04853
8462.73792,0.04907
